"Plot Title: 21235771"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 21235771, SEN S/N: 21235771)","High Range, μS/cm (LGR S/N: 21235771, SEN S/N: 21235771)","Temp, °C (LGR S/N: 21235771, SEN S/N: 21235771)"
1,05/23/23 01:00:00 AM,32765.2,31268.9,9.74
2,05/23/23 01:15:00 AM,32765.2,31278.9,9.74
3,05/23/23 01:30:00 AM,32765.2,31293.0,9.75
4,05/23/23 01:45:00 AM,32765.2,31256.9,9.77
5,05/23/23 02:00:00 AM,32765.2,31295.0,9.78
6,05/23/23 02:15:00 AM,32765.2,31278.9,9.78
7,05/23/23 02:30:00 AM,32765.2,31216.8,9.77
8,05/23/23 02:45:00 AM,32765.2,31256.9,9.75
9,05/23/23 03:00:00 AM,32765.2,31280.9,9.77
10,05/23/23 03:15:00 AM,32765.2,31136.8,9.74
11,05/23/23 03:30:00 AM,32765.2,31264.9,9.74
12,05/23/23 03:45:00 AM,32765.2,31250.8,9.78
13,05/23/23 04:00:00 AM,32765.2,31216.8,9.84
14,05/23/23 04:15:00 AM,32765.2,30651.1,10.14
15,05/23/23 04:30:00 AM,32199.6,30037.8,10.49
16,05/23/23 04:45:00 AM,30832.4,29112.5,10.91
17,05/23/23 05:00:00 AM,30263.0,28735.2,11.11
18,05/23/23 05:15:00 AM,29670.6,28408.3,11.36
19,05/23/23 05:30:00 AM,29716.3,28436.7,11.35
20,05/23/23 05:45:00 AM,30061.1,28652.6,11.20
21,05/23/23 06:00:00 AM,29915.6,28561.3,11.20
22,05/23/23 06:15:00 AM,29479.6,28201.7,11.31
23,05/23/23 06:30:00 AM,29106.1,27948.2,11.43
24,05/23/23 06:45:00 AM,28742.1,27663.0,11.47
25,05/23/23 07:00:00 AM,28965.8,27864.9,11.46
26,05/23/23 07:15:00 AM,28693.8,27676.8,11.50
27,05/23/23 07:30:00 AM,28965.8,27833.7,11.45
28,05/23/23 07:45:00 AM,29010.4,27890.9,11.38
29,05/23/23 08:00:00 AM,29283.6,28092.9,11.32
30,05/23/23 08:15:00 AM,29382.5,28140.2,11.32
31,05/23/23 08:30:00 AM,29238.6,28068.5,11.32
32,05/23/23 08:45:00 AM,30056.7,28666.9,11.15
